,experiment_name,encoder,fusion,regression_head,segmentation_head,dropout,fusion_channels,batch_size,num_epochs,lr,weight_decay,calorie_weight,seg_weight,use_segmentation,use_augment,mae,mse,mape,best_epoch
0,exp14_ensemble_lr_variation,resnet18,inception,standard,standard,0.4,512,32,40,9.5e-05,1e-06,1.0,0.5,False,False,33.3696403503418,2368.14990234375,4034998272.0,16
1,exp14_ensemble_dropout_variation_0.3,resnet18,inception,standard,standard,0.3,512,32,50,3e-05,1e-06,1.0,0.5,False,False,61.15052795410156,7849.62548828125,5606362624.0,21
2,exp14_ensemble_dropout_variation_0.2,resnet18,inception,standard,standard,0.2,512,32,50,3e-05,1e-06,1.0,0.5,False,False,61.552433013916016,8097.93603515625,22176233472.0,23
3,exp14_ensemble_dropout_variation_0.3_weight_decay_1e-5,resnet18,inception,standard,standard,0.4,512,32,50,3e-05,1e-05,1.0,0.5,False,False,59.2781867980957,8144.11083984375,7353914368.0,35
4,exp14_ensemble_seed_123,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,60.65407943725586,8277.505859375,19337885696.0,25
5,exp14_ensemble_dropout_variation,resnet18,inception,standard,standard,0.5,512,32,50,9.5e-05,1e-06,1.0,0.5,False,False,62.420257568359375,8402.6259765625,5986574848.0,15
6,exp0_baseline_r18_seg_no_aug_seg_weight_0.5,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,True,False,63.925323486328125,8523.7802734375,9439521792.0,22
7,exp14_ensemble_seed_42,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,64.02915954589844,9012.3759765625,4276627968.0,18
8,exp0_baseline_r18_seg_no_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.2,True,False,68.08372497558594,9155.7373046875,10199531520.0,13
9,exp0_baseline_r18_no_seg_no_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,70.84443664550781,10170.8125,8834727936.0,12
10,exp0_baseline_r18_no_seg_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,True,72.81463623046875,11008.6083984375,9930754048.0,16
11,exp0_baseline_r18_seg_aug,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.2,True,True,76.75361633300781,12335.9033203125,5908719104.0,13
12,exp0_baseline_r18_no_seg,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,True,97.0107650756836,18826.009765625,22067984384.0,8
