experiment_name,encoder,fusion,regression_head,segmentation_head,dropout,fusion_channels,batch_size,num_epochs,lr,weight_decay,calorie_weight,seg_weight,use_segmentation,use_augment,mae,mse,mape,best_epoch,experiment_category
exp14_ensemble_lr_variation,resnet18,inception,standard,standard,0.4,512,32,40,9.5e-05,1e-06,1.0,0.5,False,False,33.3696403503418,2368.14990234375,4034998272.0,16.0,Other
exp14_ensemble_dropout_variation_0.3,resnet18,inception,standard,standard,0.3,512,32,50,3e-05,1e-06,1.0,0.5,False,False,61.15052795410156,7849.62548828125,5606362624.0,21.0,Other
exp14_ensemble_dropout_variation_0.2,resnet18,inception,standard,standard,0.2,512,32,50,3e-05,1e-06,1.0,0.5,False,False,61.552433013916016,8097.93603515625,22176233472.0,23.0,Other
exp14_ensemble_dropout_variation_0.3_weight_decay_1e-5,resnet18,inception,standard,standard,0.4,512,32,50,3e-05,1e-05,1.0,0.5,False,False,59.2781867980957,8144.11083984375,7353914368.0,35.0,Other
exp14_ensemble_seed_123,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,60.65407943725586,8277.505859375,19337885696.0,25.0,Other
exp14_ensemble_dropout_variation,resnet18,inception,standard,standard,0.5,512,32,50,9.5e-05,1e-06,1.0,0.5,False,False,62.420257568359375,8402.6259765625,5986574848.0,15.0,Other
exp6_inception_fusion_r18_no_seg,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,False,False,62.99363327026367,8412.548828125,4380078080.0,18.0,Other
exp0_baseline_r18_seg_no_aug_seg_weight_0.5,resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.5,True,False,63.925323486328125,8523.7802734375,9439521792.0,22.0,Baseline
exp1_early_fusion_r18_no_aug,early_fusion_resnet18,middle,standard,standard,0.4,512,32,40,0.0001,1e-06,1.0,0.3,False,False,63.855342864990234,8537.830078125,17246853120.0,34.0,Early Fusion
exp13_inception_wd_2e6_optimal,resnet18,inception,standard,standard,0.4,512,32,40,0.0001,2e-06,1.0,0.5,False,False,64.68431854248047,8664.1845703125,6759979008.0,18.0,Other
